MandatId,DateCreation,BienMandatId,Statut,DescriptionBien_DateOffreAcceptee,Origine_DateCollecte,CritereId,TypeProjet,BudgetMaxEuro,SurfaceMin,NombrePiecesEnum,NombreChambresEnum,LocalisationId,Code,Nom,StatutMandat,TypeMission,TypeMandat,TypeBien
125,2012-05-29,204,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,205,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,206,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,207,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,208,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,209,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,210,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,211,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,212,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,213,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,214,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,215,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,216,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,217,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,218,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,219,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,220,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,221,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,222,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,223,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,224,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,225,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,226,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,227,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,228,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,229,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,230,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,231,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,232,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,233,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,234,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,235,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,236,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,237,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,238,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,239,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,240,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,241,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,242,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,243,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,244,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,245,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,246,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,247,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,248,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,249,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,250,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,251,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,252,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,253,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,254,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,255,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,256,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,257,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,258,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,259,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,260,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,261,7,0001-01-01,2013-10-01,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,262,7,0001-01-01,2013-09-19,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,263,7,0001-01-01,2013-09-19,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,264,7,0001-01-01,2013-09-19,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,265,7,0001-01-01,2013-09-19,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
125,2012-05-29,266,7,0001-01-01,2013-09-19,125,"Résidence principale",110000,70,3,2,NULL,NULL,NULL,"Mandat perdu",Online,"Avec préavis",Maison
